"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"115-1101R","FARO SENTRA 2000 LISO C/AJUSTES DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",550,0,"01","01"
"115-1501L","CUARTO PUNTA SENTRA 2000 CRISTAL IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"115-1501R","CUARTO PUNTA SENTRA 2000 CRISTAL DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"12362571","MOTOVENT MALIBU 97-03 P/ A/A COMPLETO","19MV","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",3800,0,,
"12367291","MOTOVENT VENTURE 99-00 COMPLETO","19MV","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",3800,0,,
"12472769","BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL IZQ","34BCF","CHEV","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"12472770","BISAGRA COFRE CHEV PU 99-02 S/ESPIRAL DER","34BCF","CHEV","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"12474012","BRAZO DEF DEL CHEV PU 99-02 INTERIOR DER","11BRA","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"12474013","BRAZO DEF DEL CHEV PU 99-02 INTERIOR IZQ","11BRA","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"14000081","MOLD INF PARR CHEV PU 79-80 ANCHA","27MLD","CHEV","MTW","S","Libre","PZA","PZA","PZA",300,0,"01","01"
"14021253","BISAGRA COFRE CHEV PU 81-91 C/ESPIRAL IZQ","34BCF","CHEV","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
