"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"CCPU92","SFES97L","5092","7","2"
"CCPU92","SFES97R","5092","7","2"
"CCPU92","SFKA01L","5092","7","2"
"CCPU92","SFKA01R","5092","7","2"
"CCPU92","SFPU92L","5092","7","2"
"CCPU92","SFPU92R","5092","7","2"
"CCPU92","SFRA93R","5092","7","2"
"CCPU92","SFVA97L","5092","7","2"
"CCPU99","CDNE00","5092","7","2"
"CCPU99","CFCN98","5092","7","2"
"CCPU99","CFPU80","5092","7","2"
"CCPU99","DDNPU84P","5092","7","2"
"CCPU99","PVGO89GTI","5092","7","2"
"CCPU99","SCPU99R","5092","7","2"
"CCPU99","SFES97L","5092","7","2"
"CCPU99","SFES97R","5092","7","2"
"CCPU99","SFKA01L","5092","7","2"
"CCPU99","SFKA01R","5092","7","2"
"CCPU99","SFPU92L","5092","7","2"
"CCPU99","SFPU92R","5092","7","2"
"CCPU99","SFRA93R","5092","7","2"
"CCPU99","SFVA97L","5092","7","2"
"CDNE00","CFCN98","5092","7","2"
"CDNE00","CFPU80","5092","7","2"
"CDNE00","DDNPU84P","5092","7","2"
"CDNE00","PVGO89GTI","5092","7","2"
"CDNE00","SCPU99R","5092","7","2"
"CDNE00","SFES97L","5092","7","2"
"CDNE00","SFES97R","5092","7","2"
"CDNE00","SFKA01L","5092","7","2"
"CDNE00","SFKA01R","5092","7","2"
"CDNE00","SFPU92L","5092","7","2"
"CDNE00","SFPU92R","5092","7","2"
"CDNE00","SFRA93R","5092","7","2"
"CDNE00","SFVA97L","5092","7","2"
"CFCN98","CFPU80","5092","7","2"
"CFCN98","DDNPU84P","5092","7","2"
"CFCN98","PVGO89GTI","5092","7","2"
"CFCN98","SCPU99R","5092","7","2"
"CFCN98","SFES97L","5092","7","2"
"CFCN98","SFES97R","5092","7","2"
"CFCN98","SFKA01L","5092","7","2"
"CFCN98","SFKA01R","5092","7","2"
"CFCN98","SFPU92L","5092","7","2"
"CFCN98","SFPU92R","5092","7","2"
"CFCN98","SFRA93R","5092","7","2"
"CFCN98","SFVA97L","5092","7","2"
"CFPU80","DDNPU84P","5092","7","2"
"CFPU80","PVGO89GTI","5092","7","2"
"CFPU80","SCPU99R","5092","7","2"
"CFPU80","SFES97L","5092","7","2"
"CFPU80","SFES97R","5092","7","2"
"CFPU80","SFKA01L","5092","7","2"
"CFPU80","SFKA01R","5092","7","2"
"CFPU80","SFPU92L","5092","7","2"
"CFPU80","SFPU92R","5092","7","2"
"CFPU80","SFRA93R","5092","7","2"
"CFPU80","SFVA97L","5092","7","2"
"DDNPU84P","PVGO89GTI","5092","7","2"
"DDNPU84P","SCPU99R","5092","7","2"
"DDNPU84P","SFES97L","5092","7","2"
"DDNPU84P","SFES97R","5092","7","2"
"DDNPU84P","SFKA01L","5092","7","2"
"DDNPU84P","SFKA01R","5092","7","2"
"DDNPU84P","SFPU92L","5092","7","2"
"DDNPU84P","SFPU92R","5092","7","2"
"DDNPU84P","SFRA93R","5092","7","2"
"DDNPU84P","SFVA97L","5092","7","2"
"PVGO89GTI","SCPU99R","5092","7","2"
"PVGO89GTI","SFES97L","5092","7","2"
"PVGO89GTI","SFES97R","5092","7","2"
"PVGO89GTI","SFKA01L","5092","7","2"
"PVGO89GTI","SFKA01R","5092","7","2"
"PVGO89GTI","SFPU92L","5092","7","2"
"PVGO89GTI","SFPU92R","5092","7","2"
"PVGO89GTI","SFRA93R","5092","7","2"
"PVGO89GTI","SFVA97L","5092","7","2"
"SCPU99R","SFES97L","5092","7","2"
"SCPU99R","SFES97R","5092","7","2"
